"page_id","phrase_id","source_lane","pageKind","relationship_id","source_kind","source_id","target_kind","target_id","relation_type","display_label","reason","sort_order","generated_relation_source_path","source_path","proposed_target_page_id","proposed_relation_type","proposed_display_label","proposed_reason","review_status","import_approval","approved_by","approved_at"
"viet-phrase-acknowledge-da-chao-ba","acknowledge-da-chao-ba","catalog-promoted","phrase","relation:849507494ee6eb6d","phrase_page","viet-phrase-acknowledge-da-chao-ba","phrase_page","viet-phrase-acknowledge-da-chao-ong","see_also","Relationship swaps","Authored Relationship swaps row links these phrase pages.","0","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ba.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-ba","acknowledge-da-chao-ba","catalog-promoted","phrase","relation:13cfce9cbfd7b6f1","phrase_page","viet-phrase-acknowledge-da-chao-ba","phrase_page","viet-phrase-acknowledge-da-chao-co","see_also","Relationship swaps","Authored Relationship swaps row links these phrase pages.","1","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ba.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-ba","acknowledge-da-chao-ba","catalog-promoted","phrase","relation:a652a0a9f239031b","phrase_page","viet-phrase-acknowledge-da-chao-ba","phrase_page","viet-phrase-polite-3","next_step_after","Explore next","Authored Explore next row links these phrase pages.","1","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ba.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chi","acknowledge-da-chao-chi","catalog-promoted","phrase","relation:0f8593efdca60f3a","phrase_page","viet-phrase-acknowledge-da-chao-chi","phrase_page","viet-phrase-polite-2","next_step_after","Explore next","Authored Explore next row links these phrase pages.","0","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chi.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chi","acknowledge-da-chao-chi","catalog-promoted","phrase","relation:d2b4808dc9d64afd","phrase_page","viet-phrase-acknowledge-da-chao-chi","phrase_page","viet-phrase-acknowledge-da-chao-anh","see_also","Relationship swaps","Authored Relationship swaps row links these phrase pages.","0","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chi.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chi","acknowledge-da-chao-chi","catalog-promoted","phrase","relation:8de9a0ccab29a29a","phrase_page","viet-phrase-acknowledge-da-chao-chi","phrase_page","viet-phrase-repair-english-help","next_step_after","Explore next","Authored Explore next row links these phrase pages.","1","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chi.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chi","acknowledge-da-chao-chi","catalog-promoted","phrase","relation:dc1d39a19714d011","phrase_page","viet-phrase-acknowledge-da-chao-chi","phrase_page","viet-phrase-acknowledge-da-chao-co","see_also","Relationship swaps","Authored Relationship swaps row links these phrase pages.","1","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chi.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chi","acknowledge-da-chao-chi","catalog-promoted","phrase","relation:c7f34edb284d7934","phrase_page","viet-phrase-acknowledge-da-chao-chi","phrase_page","viet-phrase-polite-3","next_step_after","Explore next","Authored Explore next row links these phrase pages.","2","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chi.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chu","acknowledge-da-chao-chu","catalog-promoted","phrase","relation:542e0c3fed285f2d","phrase_page","viet-phrase-acknowledge-da-chao-chu","phrase_page","viet-phrase-taxi-1","next_step_after","Explore next","Authored Explore next row links these phrase pages.","0","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chu.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chu","acknowledge-da-chao-chu","catalog-promoted","phrase","relation:9a46eca913d2d7ef","phrase_page","viet-phrase-acknowledge-da-chao-chu","phrase_page","viet-phrase-acknowledge-da-chao-anh","see_also","Relationship swaps","Authored Relationship swaps row links these phrase pages.","0","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chu.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chu","acknowledge-da-chao-chu","catalog-promoted","phrase","relation:56a6768cf03b9dd5","phrase_page","viet-phrase-acknowledge-da-chao-chu","phrase_page","viet-phrase-acknowledge-da-chao-ong","see_also","Relationship swaps","Authored Relationship swaps row links these phrase pages.","1","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chu.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chu","acknowledge-da-chao-chu","catalog-promoted","phrase","relation:ea2701394647197b","phrase_page","viet-phrase-acknowledge-da-chao-chu","phrase_page","viet-phrase-price-1","next_step_after","Explore next","Authored Explore next row links these phrase pages.","1","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chu.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-chu","acknowledge-da-chao-chu","catalog-promoted","phrase","relation:91afa3dbb8786918","phrase_page","viet-phrase-acknowledge-da-chao-chu","phrase_page","viet-phrase-polite-2","next_step_after","Explore next","Authored Explore next row links these phrase pages.","2","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-chu.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-co","acknowledge-da-chao-co","catalog-promoted","phrase","relation:4875abc5b0a0eafb","phrase_page","viet-phrase-acknowledge-da-chao-co","phrase_page","viet-phrase-polite-2","next_step_after","Explore next","Authored Explore next row links these phrase pages.","0","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-co","acknowledge-da-chao-co","catalog-promoted","phrase","relation:e92e699bc1436984","phrase_page","viet-phrase-acknowledge-da-chao-co","phrase_page","viet-phrase-acknowledge-da-chao-chi","see_also","Relationship swaps","Authored Relationship swaps row links these phrase pages.","0","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-co","acknowledge-da-chao-co","catalog-promoted","phrase","relation:43437a24acda33ee","phrase_page","viet-phrase-acknowledge-da-chao-co","phrase_page","viet-phrase-acknowledge-da-chao-ba","see_also","Relationship swaps","Authored Relationship swaps row links these phrase pages.","1","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-co","acknowledge-da-chao-co","catalog-promoted","phrase","relation:e5e159a56145bc6f","phrase_page","viet-phrase-acknowledge-da-chao-co","phrase_page","viet-phrase-food-menu","next_step_after","Explore next","Authored Explore next row links these phrase pages.","1","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-co","acknowledge-da-chao-co","catalog-promoted","phrase","relation:0b55888a17f89967","phrase_page","viet-phrase-acknowledge-da-chao-co","phrase_page","viet-phrase-acknowledge-duoc","next_step_after","Explore next","Authored Explore next row links these phrase pages.","2","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-co.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-ong","acknowledge-da-chao-ong","catalog-promoted","phrase","relation:09f9de2ab0adb0e6","phrase_page","viet-phrase-acknowledge-da-chao-ong","phrase_page","viet-phrase-acknowledge-da-chao-ba","see_also","Relationship swaps","Authored Relationship swaps row links these phrase pages.","0","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ong.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-ong","acknowledge-da-chao-ong","catalog-promoted","phrase","relation:ec7df36fab54c69d","phrase_page","viet-phrase-acknowledge-da-chao-ong","phrase_page","viet-phrase-polite-2","next_step_after","Explore next","Authored Explore next row links these phrase pages.","0","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ong.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-ong","acknowledge-da-chao-ong","catalog-promoted","phrase","relation:06faa6b500ca2c53","phrase_page","viet-phrase-acknowledge-da-chao-ong","phrase_page","viet-phrase-acknowledge-da-chao-chu","see_also","Relationship swaps","Authored Relationship swaps row links these phrase pages.","1","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ong.json","","","","","not_started","","",""
"viet-phrase-acknowledge-da-chao-ong","acknowledge-da-chao-ong","catalog-promoted","phrase","relation:0b0546c2bdc114d3","phrase_page","viet-phrase-acknowledge-da-chao-ong","phrase_page","viet-phrase-polite-3","next_step_after","Explore next","Authored Explore next row links these phrase pages.","1","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-da-chao-ong.json","","","","","not_started","","",""
"viet-phrase-acknowledge-duoc","acknowledge-duoc","catalog-promoted","phrase","relation:28528738132fa977","phrase_page","viet-phrase-acknowledge-duoc","phrase_page","viet-phrase-v500-shop-okay-ill-take-it","next_step_after","Explore next","Authored Explore next row links these phrase pages.","0","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-duoc.json","","","","","not_started","","",""
"viet-phrase-acknowledge-duoc","acknowledge-duoc","catalog-promoted","phrase","relation:42a5f8017e893ee1","phrase_page","viet-phrase-acknowledge-duoc","phrase_page","viet-phrase-acknowledge-co","see_also","Nearby answers","Authored Nearby answers row links these phrase pages.","0","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-duoc.json","","","","","not_started","","",""
"viet-phrase-acknowledge-duoc","acknowledge-duoc","catalog-promoted","phrase","relation:0ee40efcca708f6c","phrase_page","viet-phrase-acknowledge-duoc","phrase_page","viet-phrase-v500-poli-basi-yes","see_also","Nearby answers","Authored Nearby answers row links these phrase pages.","1","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-duoc.json","","","","","not_started","","",""
"viet-phrase-acknowledge-duoc","acknowledge-duoc","catalog-promoted","phrase","relation:8f0c5cc0d871d12c","phrase_page","viet-phrase-acknowledge-duoc","phrase_page","viet-phrase-v500-unde-repa-okay-now-i-understand","next_step_after","Explore next","Authored Explore next row links these phrase pages.","1","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-duoc.json","","","","","not_started","","",""
"viet-phrase-acknowledge-duoc","acknowledge-duoc","catalog-promoted","phrase","relation:2fa27d2be565356d","phrase_page","viet-phrase-acknowledge-duoc","phrase_page","viet-phrase-acknowledge-khong","see_also","Nearby answers","Authored Nearby answers row links these phrase pages.","2","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-duoc.json","","","","","not_started","","",""
"viet-phrase-acknowledge-duoc","acknowledge-duoc","catalog-promoted","phrase","relation:f84983b640a3e823","phrase_page","viet-phrase-acknowledge-duoc","phrase_page","viet-phrase-polite-2","next_step_after","Explore next","Authored Explore next row links these phrase pages.","2","native-ios/Resources/viet-authored-listing-pages.json","content-draft/viet/canonical-pages/catalog-promoted/polite-basics/acknowledge-duoc.json","","","","","not_started","","",""
